Location,Check-in Date,Check-out Date,Hotel Name,Room Type,Price
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Candlewood Suites: Auburn,1 Queen Studio Suite,"13,042"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Candlewood Suites: Auburn,Studio Suite,"13,042"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Auburn - University Area,1 King Bed Standard,"16,620"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Auburn - University Area,2 Queen Beds Standard,"17,416"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Auburn - University Area,Standard Room,"19,404"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,avid hotels: Auburn - University Area,1 King Bed Standard,"15,030"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,avid hotels: Auburn - University Area,Standard Room,"16,223"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Staybridge Suites: Auburn – University Area,2 Queen Studio Suite Kitchen Area,"24,970"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Staybridge Suites: Auburn – University Area,Studio Suite,"24,970"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Staybridge Suites: Auburn – University Area,1 Bedroom Suite Sofa Bed,"26,561"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Opelika Auburn,1 King Standard Walk In Shower,"14,235"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Opelika Auburn,2 Queen Standard,"15,030"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Opelika Auburn,1 Queen Ste Sofa Bed Living Area Wet Bar,"16,223"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Opelika Auburn,Standard Room,"16,620"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Opelika Auburn,1 King Suite Sofa Bed Living Area,"17,416"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Opelika Auburn,1 Kng 1 Bdrm Ste Sofa Bed Walk In Shower,"19,801"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,1 King Standard,"12,644"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,2 Queen Standard,"13,439"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,1 King Suite Additional Living Sofa Bed,"14,632"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,Standard Room,"15,030"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Hotel Indigo: Columbus at Riverfront Place,1 King Bed Standard Minifridge,"19,801"
"Auburn, Alabama, United States",03/08/2024,04/08/2024,Hotel Indigo: Columbus at Riverfront Place,1 King Bed Premium,"26,958"
