Location,Check-in Date,Check-out Date,Hotel Name,Room Type,Price
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Candlewood Suites: Baton Rouge - College Drive,1 Queen Studio Suite,"8,270"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Candlewood Suites: Baton Rouge - College Drive,1 King Studio Suite,"8,827"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Candlewood Suites: Baton Rouge - College Drive,2 Queen Studio Suite,"9,066"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Candlewood Suites: Baton Rouge - College Drive,1 Bedroom Suite,"9,861"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Candlewood Suites: Baton Rouge - College Drive,Studio Suite,"9,861"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Hotel Indigo: Baton Rouge Downtown,1 Queen Standard,"11,054"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Hotel Indigo: Baton Rouge Downtown,2 Double Standard City View,"11,849"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Hotel Indigo: Baton Rouge Downtown,1 King Standard City View,"12,247"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Hotel Indigo: Baton Rouge Downtown,Standard Room,"12,247"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Hotel Indigo: Baton Rouge Downtown,2 Double Standard River View,"12,644"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Hotel Indigo: Baton Rouge Downtown,1 King Standard River View,"13,042"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Crowne Plaza: Executive Center Baton Rouge,1 King Standard,"12,247"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Crowne Plaza: Executive Center Baton Rouge,Standard Room,"12,247"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Crowne Plaza: Executive Center Baton Rouge,2 Queen Premium Balcony,"14,632"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King Standard,"10,258"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King Standard Top Floor,"11,054"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Holiday Inn: Baton Rouge College Drive I-10,2 Queen Standard Non Smoking,"11,054"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Holiday Inn: Baton Rouge College Drive I-10,Standard Room,"11,054"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Holiday Inn: Baton Rouge College Drive I-10,2 Queen Standard Top Floor,"11,451"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King Premium,"13,439"
"Baton Rouge, LA, USA",03/08/2024,04/08/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King Suite,"13,837"
