Location,Check-in Date,Check-out Date,Hotel Name,Room Type,Price
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Hotel Indigo: Chattanooga - Downtown,1 King Bed Standard,"15,346"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Hotel Indigo: Chattanooga - Downtown,Standard Room,"18,188"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Hotel Indigo: Chattanooga - Downtown,1 King Bed 1 Bedroom Suite,"19,406"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Staybridge Suites: Chattanooga Dwtn - Conv Ctnr,1 Queen Studio Suite Sofa Bed,"14,632"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Staybridge Suites: Chattanooga Dwtn - Conv Ctnr,1 King Suite,"15,427"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Staybridge Suites: Chattanooga Dwtn - Conv Ctnr,Standard Suite,"15,427"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Staybridge Suites: Chattanooga Dwtn - Conv Ctnr,2 Double Suite Sofa Bed,"16,223"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Staybridge Suites: Chattanooga Dwtn - Conv Ctnr,2 Bedroom Suite,"24,970"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn & Suites: Chattanooga Downtown,Standard Room,"14,235"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn & Suites: Chattanooga Downtown,1 King Bed Standard Sofa Bed,"14,632"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn & Suites: Chattanooga Downtown,2 Queen Beds Standard,"15,427"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn & Suites: Chattanooga Downtown,2 Queen Beds Standard City View,"15,825"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Chattanooga Downtown,1 King Suite,"16,223"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Chattanooga-Lookout Mtn,1 King Standard,"12,247"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Chattanooga-Lookout Mtn,Standard Room,"12,247"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Chattanooga-Lookout Mtn,1 King Bed Suite Wet Bar Sofa Bed,"13,042"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Chattanooga-Lookout Mtn,1 King Suite Sofa Bed,"13,042"
"Chattanooga, TN, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Chattanooga-Lookout Mtn,Specialty Room,"13,439"
