Location,Check-in Date,Check-out Date,Hotel Name,Room Type,Price
"College Station, TX, United States",03/08/2024,04/08/2024,Aggieland Boutique Hotel,1 King Bed Standard Walk In Shower,"7,873"
"College Station, TX, United States",03/08/2024,04/08/2024,Aggieland Boutique Hotel,1 King Bed And 1 Bunk Bed Premium,"8,270"
"College Station, TX, United States",03/08/2024,04/08/2024,Aggieland Boutique Hotel,2 Queen Beds Standard Bath Shower Combo,"8,270"
"College Station, TX, United States",03/08/2024,04/08/2024,Aggieland Boutique Hotel,2 Queen Beds Standard Walk In Shower,"8,270"
"College Station, TX, United States",03/08/2024,04/08/2024,Aggieland Boutique Hotel,Premium Room,"8,270"
"College Station, TX, United States",03/08/2024,04/08/2024,Aggieland Boutique Hotel,1 King Bed 1 Bunk Bed Kyle Field View,"8,668"
"College Station, TX, United States",03/08/2024,04/08/2024,Aggieland Boutique Hotel,2 Queen Beds Premium Kyle Field View,"8,668"
"College Station, TX, United States",03/08/2024,04/08/2024,Aggieland Boutique Hotel,Standard Room,"8,668"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: College Station,1 King Standard,"7,873"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: College Station,2 Queen Standard,"9,463"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: College Station,1 Bedroom Suite Sofa Bed,"10,656"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: College Station,Standard Room,"11,054"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: College Station,2 Queen Suite Extra Floor Space Sofa Bed,"11,451"
"College Station, TX, United States",03/08/2024,04/08/2024,Staybridge Suites: College Station,1 King Studio Suite,"11,692"
"College Station, TX, United States",03/08/2024,04/08/2024,Staybridge Suites: College Station,1 Bedroom Suite 2 Queen,"13,316"
"College Station, TX, United States",03/08/2024,04/08/2024,Staybridge Suites: College Station,STANDARD ROOM,"27,932"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Bryan - College Station,1 King Standard Walk In Shower,"7,873"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Bryan - College Station,2 Queen Standard,"9,463"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Bryan - College Station,1 Bedroom Suite Walk In Shower,"10,258"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Bryan - College Station,Standard Room,"10,258"
"College Station, TX, United States",03/08/2024,04/08/2024,Candlewood Suites: College Station at University,1 Queen Studio Suite Kitchen,"7,078"
"College Station, TX, United States",03/08/2024,04/08/2024,Candlewood Suites: College Station at University,2 Queen Studio Suite Kitchen,"8,668"
"College Station, TX, United States",03/08/2024,04/08/2024,Candlewood Suites: College Station at University,Studio Suite,"8,668"
"College Station, TX, United States",03/08/2024,04/08/2024,Candlewood Suites: College Station at University,1 King 1 Bdrm Ste Living Dining Kitchen,"10,258"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn & Suites: College Station-Aggieland,1 King Standard,"9,463"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn & Suites: College Station-Aggieland,2 Queen Standard,"9,463"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn & Suites: College Station-Aggieland,STANDARD ROOM,"9,463"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn & Suites: College Station-Aggieland,2 Queen 1 Bedroom Suite,"11,849"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn & Suites: College Station-Aggieland,1 King 1 Bedroom Suite,"11,849"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn & Suites: College Station-Aggieland,SUPERIOR ROOM,"11,849"
"College Station, TX, United States",03/08/2024,04/08/2024,Holiday Inn & Suites: College Station-Aggieland,1 King Standard Jetted Tub,"12,247"
