Location,Check-in Date,Check-out Date,Hotel Name,Room Type,Price
"Louisville, KY, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Louisville Downtown,Standard Room,"15,825"
"Louisville, KY, United States",03/08/2024,04/08/2024,Holiday Inn Express & Suites: Louisville Downtown,2 Queen Beds Standard,"16,620"
"Louisville, KY, United States",03/08/2024,04/08/2024,Holiday Inn: Louisville Downtown,1 Queen Bed Standard,"13,837"
"Louisville, KY, United States",03/08/2024,04/08/2024,Holiday Inn: Louisville Downtown,1 King Bed Standard,"14,235"
"Louisville, KY, United States",03/08/2024,04/08/2024,Holiday Inn: Louisville Downtown,1 Queen Bed Premium,"15,825"
"Louisville, KY, United States",03/08/2024,04/08/2024,Holiday Inn: Louisville Downtown,Standard Room,"15,825"
"Louisville, KY, United States",03/08/2024,04/08/2024,Candlewood Suites: Louisville - NE Downtown Area,1 Queen Studio Suite,"10,258"
"Louisville, KY, United States",03/08/2024,04/08/2024,Candlewood Suites: Louisville - NE Downtown Area,1 King Studio Suite,"12,644"
"Louisville, KY, United States",03/08/2024,04/08/2024,Candlewood Suites: Louisville - NE Downtown Area,1 Queen 1 Bedroom Suite,"12,644"
"Louisville, KY, United States",03/08/2024,04/08/2024,Candlewood Suites: Louisville - NE Downtown Area,2 Queen Studio Suite,"13,439"
"Louisville, KY, United States",03/08/2024,04/08/2024,Candlewood Suites: Louisville - NE Downtown Area,Studio Suite,"13,439"
"Louisville, KY, United States",03/08/2024,04/08/2024,Holiday Inn: Louisville Airport - Fair/Expo,1 King Standard,"15,030"
"Louisville, KY, United States",03/08/2024,04/08/2024,Holiday Inn: Louisville Airport - Fair/Expo,STANDARD ROOM,"15,825"
"Louisville, KY, United States",03/08/2024,04/08/2024,Holiday Inn: Louisville Airport - Fair/Expo,2 Queen Standard`,"18,211"
"Louisville, KY, United States",03/08/2024,04/08/2024,Staybridge Suites: Louisville - Expo Center,1 King Bed Studio Suite With Kitchenette,"14,235"
"Louisville, KY, United States",03/08/2024,04/08/2024,Staybridge Suites: Louisville - Expo Center,1 King Bed 1 Bedroom Suite Sofa Bed,"15,030"
"Louisville, KY, United States",03/08/2024,04/08/2024,Staybridge Suites: Louisville - Expo Center,2 Queen Beds Studio Suite Sofa Bed,"16,620"
"Louisville, KY, United States",03/08/2024,04/08/2024,Staybridge Suites: Louisville - Expo Center,Studio Suite,"19,801"
"Louisville, KY, United States",03/08/2024,04/08/2024,Holiday Inn Express: New Albany - Louisville NW,1 King Standard,"9,463"
"Louisville, KY, United States",03/08/2024,04/08/2024,Holiday Inn Express: New Albany - Louisville NW,Standard Room,"11,054"
"Louisville, KY, United States",03/08/2024,04/08/2024,Crowne Plaza: Louisville Airport Expo Ctr,2 Queen Beds Standard,"15,030"
"Louisville, KY, United States",03/08/2024,04/08/2024,Crowne Plaza: Louisville Airport Expo Ctr,2 Queen Beds Standard Balcony,"17,416"
"Louisville, KY, United States",03/08/2024,04/08/2024,Crowne Plaza: Louisville Airport Expo Ctr,1 King Bed Premium,"18,211"
"Louisville, KY, United States",03/08/2024,04/08/2024,Crowne Plaza: Louisville Airport Expo Ctr,Standard Room,"18,211"
"Louisville, KY, United States",03/08/2024,04/08/2024,Crowne Plaza: Louisville Airport Expo Ctr,1 King Bed Junior Suite Sofa Bed,"22,982"
"Louisville, KY, United States",03/08/2024,04/08/2024,Crowne Plaza: Louisville Airport Expo Ctr,Premium Room,"22,982"
